name,h_index,article_link,article_name,citations_count
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
Maciej P Polak,15,,,
